469937,Wrap Around Patio With City Lights & Mountain View,33.791858,-118.161654,"Signal Hill, CA, USA",15,4.9,96,,,,195,,30,3,1,1,condo,Yes,2013,Within 12 hours,100%,"June 7, 2017",condo,2,750,state,building,Long Beach
457075,Steps to Sand- Beautiful Beach Cottage (Back House),33.61294,-117.93192,"Balboa Peninsula, Newport Beach, CA, USA",24,,256,,,,,10.0%,2,4,2,1,bungalow,Yes,2007,Within an hour,100%,"May 24, 2017",bungalow,,608,4,,Long Beach,CA
582191,"Stunning 5 Bedroom, 3 Bath Home 1/2 Mile Walk To Disney",33.800271,-117.931911,"Southwest Anaheim, Anaheim, CA, USA",32,4.6,500,525,,,200,15.0%,3,13,5,3,house,Yes,2011,Within a few days,70%,"June 9, 2017",house,,2500,13,,Long Beach,CA
621888,Guest House Located 1.5 Blocks To The Beach!,33.9045277,-118.4208749,"El Porto, Manhattan Beach, CA, USA",9,4.9,167,175,,,,,3,3,1,1,studio,Yes,2014,Within a day,90%,"June 1, 2017",studio,1,400,3,building,Long Beach,CA
664277,"Private Studio In Downtown Home, 5 Minute Walk to Beach",33.666629,-118.00589,"Huntington Beach, CA, USA",9,,114,,,,350,,30,2,Studio,1,studio,Yes,2015,Within an hour,100%,"April 18, 2017",studio,2,350,2,house,Long Beach,CA
3938745ha,"25% OFF JUNE 9-11 - Private Pool, Hot Tub, Delightful Accommodations",33.676411,-117.904359,"Mesa Del Mar, Costa Mesa, CA, USA",8,,389,,,,,,3,10,4,2,house,Yes,2005,Within an hour,,"June 9, 2017",house,,1986,10,,Long Beach,CA
758029,Sunny Splash Pad!**Hot Tub+WiFi+Game Room!**,33.822328,-117.908187,"Southeast Anaheim, Anaheim, CA, USA",18,4.7,291,,,,,,3,9,3,2,house,Yes,2006,Within an hour,,"June 8, 2017",house,,1500,9,,Long Beach,CA
912352,Just renovated in August Disney  close,33.839837,-117.9114787,"Anaheim Colony Historic District, Anaheim, CA, USA",3,4.7,175,175,,,85,,3,4,2,1,house,Yes,2016,Within an hour,100%,"June 4, 2017",house,,,4,,Long Beach,CA
184940,Beach Mini-Mansion W/ 4-Season Resort Quality,,,"South Redondo, Redondo Beach, CA, USA",29,4.5,874,1,,,,12.0%,2,20,6,6,house,Yes,2008,Within 2 days,100%,"June 8, 2017",house,,,20,,Long Beach,CA
7079566ha,"ONLY 4 Houses to the BEACH, LARGE Patio, CLEAN, 2 Car Garage PARKING",33.620931,-117.939492,"Balboa Peninsula, Newport Beach, CA, USA",6,4.8,294,300,330,,225,10.0%,3,8,3,2,house,Yes,2007,Within 12 hours,100%,"June 8, 2017",house,,1100,8,,Long Beach,CA
410835,"Beautiful Home...Steps to the Beach, Downtown and the Pier!",33.67271805,-118.01179504,"Huntington Beach, CA, USA",24,4.9,407,400,,,,,3,6,3,3,house,Yes,2012,Within a day,100%,"June 9, 2017",house,,,6,,Long Beach,CA
560981,Vintage Casa De Citron Near Disneyland and Anaheim Convention Center,33.828046,-117.921848,"Anaheim Colony Historic District, Anaheim, CA, USA",52,,233,249,249,,150,15.0%,3,9,3,2,house,Yes,2014,Within an hour,100%,"June 8, 2017",house,,2200,9,,Long Beach,CA
843609,Resort living - Convenience location - Watch Disney Firework from backyard,33.817242,-117.944344,"Hermosa Village, Anaheim, CA, USA",10,4.4,345,345,,,200,15.0%,3,14,3,3,house,Yes,2013,Within a few hours,100%,"June 8, 2017",house,,1800,14,,Long Beach,CA
319831ha,DisneyArea w Hot Tub!!  Book Now JuneJulyAug 4nts $575 and 7nts $945!!,,,"Southwest Anaheim, Anaheim, CA, USA",109,4.9,133,175,160,,95,,2,5,1,1,apartment,Yes,2005,Within an hour,100%,"June 9, 2017",apartment,,565,5,,Long Beach,CA
750914,"2250 sq ft Beautiful 4Bd/3BTh House ,Close To Disneyland, Fireworks view",33.820402,-117.923489,"Southwest Anaheim, Anaheim, CA, USA",25,4.7,322,400,,,200,15.0%,3,11,4,3,house,Yes,2015,Within an hour,90%,"June 8, 2017",house,,2250,11,,Long Beach,CA
897266,** Disneyland ** 3 Bd/2 Ba 1400 Sq Ft,33.7883527,-117.9116202,"Anaheim Resort, Anaheim, CA, USA",6,,212,179,220,,100,10.0%,2,7,3,2,condo,Yes,2016,Within an hour,90%,"June 8, 2017",condo,3,1400,7,building,Long Beach,CA
52561,Favorite Family Vacation Beach Home (upper unit),33.61584091,-117.93447113,"Balboa Peninsula, Newport Beach, CA, USA",19,4.9,242,,,,,,0,10,4,2,house,Yes,2004,Within a day,,"June 8, 2017",house,,,10,,Long Beach,CA
3775509ha,$295 August 12 to Sept 6! FREE Disneyland Parking! 14 BEDS! 1 mile to Disneyland,33.79529969,-117.90252632,"Southeast Anaheim, Anaheim, CA, USA",26,4.3,295,250,,,295,15.0%,2,18,4,2,house,Yes,2014,Within a day,100%,"June 8, 2017",house,,2400,,,Long Beach,CA
792297,"Private Entrance/garage Parking (mid or small car)  Quiet,",33.65890764,-117.98273224,"Huntington Beach, CA, USA",1,,114,129,135,,,8.75%,10,2,Studio,1,studio,Yes,2011,,,"May 17, 2017",studio,,550,2,,Long Beach,CA
814243,Total remodel 1 house from sand!,33.62930931,-117.95534889,"Newport Beach, CA, USA",17,,380,325,,,200,10.0%,2,6,2,2,house,Yes,2014,Within a day,100%,"June 8, 2017",house,,900,6,,Long Beach,CA
4275957ha,Tidy Townhome 2 Miles To Disneyland.,33.7887812,-117.9697648,"Garden Grove, CA, USA",9,,193,199,,,175,15.0%,3,10,3,2,townhome,Yes,2016,Within a few hours,100%,"June 9, 2017",townhome,,1500,,villa,Long Beach,CA
426983,4 BR/2BA Balboa Beach House,33.622117,-117.941185,"West Newport, Newport Beach, CA, USA",96,4.8,368,325,,,120,10.0%,2,8,4,2,house,Yes,2012,Within an hour,100%,"June 8, 2017",house,,1428,8,,Long Beach,CA
605482,Only $129/n June 2-6 !!SUITE ESCAPES 5! Walk to Disney/Conv Ctr! Pool!Garage,33.7967182,-117.9228828,"Convention Center, Anaheim, CA, USA",58,4.9,230,220,,,185,15.0%,3,9,3,2,townhome,Yes,2013,Within 12 hours,100%,"June 6, 2017",townhome,,1400,9,,Long Beach,CA
3939771ha,Eileen - 6 Bd/4 Ba Spacious Retreat,33.797394,-117.936752,"Southwest Anaheim, Anaheim, CA, USA",7,,567,,,,,,3,12,6,4,house,Yes,2015,Within an hour,,"June 9, 2017",house,,,12,,Long Beach,CA
825546,Beachfront Beautifully Upgraded And Furnished 3 Bed/2 Bath Home On The Sand!,33.6207909,-117.940349,"Balboa Peninsula, Newport Beach, CA, USA",14,,552,,,,160,10.0%,3,8,3,2,condo,Yes,2016,Within a day,100%,"June 8, 2017",condo,1,1100,8,house,Long Beach,CA
921308,BEACHFRONT CONDO WITH OCEAN VIEW AND PIER VIEW--HUNTINGTON BEACH CA-SURF CITY US,33.6605234,-118.0061571,"Huntington Beach, CA, USA",2,4.5,147,,,,140,,30,6,2,1,condo,Yes,2016,Within an hour,100%,"June 7, 2017",condo,2,1100,6,building,Long Beach,CA
422303,Spectacular Ocean Front Home,33.71805445,-118.07153713,"Sunset Beach, Huntington Beach, CA, USA",20,4.9,,,,,,,7,10,4,3,house,Yes,2012,Within a few days,50%,"June 8, 2017",house,,,10,,Long Beach,CA
514493,Perfect Location Boardwalk Beach House! (Upper),33.612461,-117.932073,"Balboa Peninsula, Newport Beach, CA, USA",6,4.8,305,,,,,,3,6,1,1,house,Yes,2014,Within a day,,"June 9, 2017",house,,,6,,Long Beach,CA
580407,Charming Manhattan Beach Cottage,33.886633,-118.406088,"Hill Section, Manhattan Beach, CA, USA",28,4.9,430,400,,,,,4,8,3,2,cottage,Yes,2014,Within an hour,100%,"June 5, 2017",cottage,,1500,8,,Long Beach,CA
847098,Designer decorated 6 bedroom pool home,33.75365,-117.883079,"Santa Ana, CA, USA",8,3.9,632,700,,,225,,3,20,6,5,house,Yes,2011,Within a few days,60%,"May 31, 2017",house,,3800,20,,Long Beach,CA
887225,"2 Blocks To The Ocean. Short Walk to Main St, Pacific City,  Pier & Roof  Deck",33.667095,-118.011933,"Huntington Beach, CA, USA",9,,625,625,,,250,,5,15,3,3,house,Yes,2016,Within an hour,100%,"June 5, 2017",house,,2900,15,,Long Beach,CA
4258754ha,Panoramic Views From Malibu To Palos Verdes And Catalina. Walk To The Strand.,33.899075,-118.416092,"Manhattan Beach, CA, USA",5,,415,375,425,,,,1,5,2,2,house,Yes,2016,Within 12 hours,100%,"June 8, 2017",house,,1700,5,,Long Beach,CA
435694,"Mickey's Magical Getaway #4 * STUNNING * POOL, TENNIS! May 30-Jun 2 *  $149!!!",33.805024,-117.95252,"Southwest Anaheim, Anaheim, CA, USA",91,,215,215,,,150,15.0%,3,7,2,2,condo,Yes,2009,Within a few hours,100%,"June 8, 2017",condo,1,1470,,building,Long Beach,CA
457086,"Air Conditioned, CLEAN, Central, Great Bed!",33.6136229,-117.930847,"Balboa Peninsula, Newport Beach, CA, USA",20,,225,200,,,,12.0%,3,2,1,1,cottage,Yes,2013,Within 12 hours,100%,"June 7, 2017",cottage,,650,2,,Long Beach,CA
597945,Funtierland 31 + Pool w/Waterslide + Splash Pad + Hot Tub + FREE WiFi/Netflix,33.8280701,-117.925618,"Southwest Anaheim, Anaheim, CA, USA",9,4.7,443,399,,,250,15.0%,3,15,6,3,house,Yes,2011,Within a few hours,100%,"June 8, 2017",house,,2700,15,,Long Beach,CA
3911528ha,Peach Home: 3bd/3ba,33.8433179,-117.894613,"Northeast Anaheim, Anaheim, CA, USA",25,4.7,249,,,,,,3,9,3,3,house,Yes,2015,Within an hour,,"June 9, 2017",house,,2274,9,,Long Beach,CA
702976,"Best of Beach Living! Pool & hot tub, huge sundeck, giant kitchen, mile to ocean",33.886255,-118.3872366,"Manhattan Heights (Manhattan Beach, CA, USA)",10,,714,834,,,300,,6,6,4,3,house,Yes,2015,Within a few hours,100%,"June 7, 2017",house,,4100,6,,Long Beach,CA
954825,Southern California Beach House,,,"South Redondo, Redondo Beach, CA, USA",6,4.5,200,185,225,,65,,2,4,2,1,house,Yes,2016,Within an hour,100%,"June 8, 2017",house,,1000,,,Long Beach,CA
490895,Only $229/nt June 27-July1  !!SUITE ESCAPES 1! Walk to Disney & CC! Pool!,33.797425,-117.923294,"Convention Center, Anaheim, CA, USA",89,4.9,230,229,,,185,15.0%,2,9,3,2,townhome,Yes,2013,Within a few hours,100%,"June 7, 2017",townhome,,1400,9,,Long Beach,CA
588082,Upstairs Beachside Getaway with Rooftop Deck and Balcony - Panoramic Views!,33.6155517,-117.9342569,"Balboa Peninsula, Newport Beach, CA, USA",10,4.5,225,,,,,,0,8,3,2,house,Yes,2004,Within a day,,"June 8, 2017",house,,,8,,Long Beach,CA
640691,Magical Mansion!**Pool**Game Room**Magical Summer Sale**Disney Close,33.836903,-117.935669,"Northwest Anaheim, Anaheim, CA, USA",17,4.8,449,,,,,,3,13,5,3,house,Yes,2006,Within an hour,,"June 8, 2017",house,,3000,13,,Long Beach,CA
3920269ha,Amazing Ocean View Condo - Live the California Dream,33.90271386,-118.41881833,"El Porto, Manhattan Beach, CA, USA",26,4.8,350,350,,,165,10.0%,3,6,3,1,condo,Yes,2015,Within 2 days,90%,"June 6, 2017",condo,2,,,building,Long Beach,CA
3939770ha,"Carnelian, 5bd/3ba 5 min to Disney!",33.803571,-117.937935,"Hermosa Village, Anaheim, CA, USA",16,4.8,519,,,,,,3,13,5,3,house,Yes,2015,Within an hour,,"June 9, 2017",house,,2054,13,,Long Beach,CA
915199,Short Walk To The Beach!,,,"El Porto, Manhattan Beach, CA, USA",2,,367,360,,,150,,2,4,2,2,apartment,Yes,2014,Within 2 days,100%,"June 9, 2017",apartment,3,820,4,building,Long Beach,CA
840827,"Cozy, Beachy 1 Bedroom 1 Bath with Ocean Views!",33.61246,-117.93207,"Balboa Peninsula, Newport Beach, CA, USA",5,4.6,183,,,,,,3,2,1,1,apartment,Yes,2014,Within a day,,"June 9, 2017",apartment,,,2,,Long Beach,CA
928809,Cute 3 bedroom 2 bath home near Convention Center & Disney,33.801325,-117.926547,"Convention Center, Anaheim, CA, USA",2,,289,325,,,150,15.0%,3,9,3,2,house,Yes,2011,Within 12 hours,90%,"June 8, 2017",house,,1600,9,,Long Beach,CA
70268,Surf City Luxury Townhome - Close to Beach/Wetlands/Harbor/Shopping,33.72093582,-118.04743195,"Huntington Beach, CA, USA",21,,94,,,,100,,28,7,2,1,townhome,Yes,2005,Within a day,100%,"June 7, 2017",townhome,,1300,,,Long Beach,CA
216526,Beach Front Surf City Huntington Beach Walk to Pier Orange County California,33.6583519,-118.00562286,"Huntington Beach, CA, USA",20,4.9,142,,,,,10.0%,29,2,1,1,condo,Yes,2006,Within a few hours,100%,"June 9, 2017",condo,2,500,2,building,Long Beach,CA
587265,Spacious Pool House with a Separate 500 sqft Guest Suite. Close To Disneyland!,33.83789862,-117.9186183,"Anaheim Colony Historic District, Anaheim, CA, USA",34,4.8,357,349,,,,15.0%,4,11,4,3,house,Yes,2013,Within 12 hours,100%,"June 9, 2017",house,,2600,11,,Long Beach,CA
692433,Snazzy 6 Bedroom 3 bath pool home 1/2 mile walk to Disney,33.809066,-117.936423,"Hermosa Village, Anaheim, CA, USA",20,4.6,611,650,,,225,15.0%,3,15,6,3,house,Yes,2011,Within 2 days,80%,"May 7, 2017",house,,2400,15,,Long Beach,CA
767137,Executive Home With An Elevator!”,33.86988,-118.400831,"Hermosa Beach, CA, USA",0,,534,,,,,,30,8,4,4,house,Yes,2011,Within a few days,62%,"June 6, 2017",house,,3800,8,,Long Beach,CA
381355,Charming Blue Beach House in East Manhattan Beach Sleeps 6,33.87985611,-118.39051819,"East Manhattan Beach, Manhattan Beach, CA, USA",13,4.6,277,230,,,150,10.0%,2,6,3,1,house,Yes,2011,Within 2 days,100%,"June 6, 2017",house,,1200,6,,Long Beach,CA
799687,Beach Bungalow 3 Blocks to the Ocean (And the Action!),33.8561882,-118.3930168,"Hermosa Beach, CA, USA",1,,120,,,,,,30,3,2,2,cabin,Yes,2006,Within an hour,,"June 9, 2017",cabin,,935,3,,Long Beach,CA
179815ha,SPECIAL MAY PRICING! THE DISNEY THEME HOME - Where the Kids Want to Stay!,33.810011,-117.934609,"Hermosa Village, Anaheim, CA, USA",65,,605,605,,,300,15.0%,4,10,4,2,house,Yes,2007,Within a few hours,100%,"June 7, 2017",house,,1800,10,,Long Beach,CA
7078216ha,Cute Beach House 2 blocks from the beach & Main St.,33.6598702,-118.0019941,"Huntington Beach, CA, USA",5,4.2,263,160,,,,,5,6,2,1,house,Yes,2007,Within 12 hours,100%,"June 9, 2017",house,,,6,,Long Beach,CA
490013,Beach & Pier Close! Walk To Both or walk to Main Street,,,"Huntington Beach, CA, USA",22,,314,325,,,200,,2,6,2,1,house,Yes,2013,Within 12 hours,90%,"June 8, 2017",house,,1100,6,,Long Beach,CA
585487,Incredible Estate 6 Bedrooms 4 bathroom w/Resort Style Rock Pool & Jacuzzi,33.855628,-117.963293,"Northwest Anaheim, Anaheim, CA, USA",40,4.9,650,700,,,,,3,16,6,4,house,Yes,2011,Within a few days,70%,"May 24, 2017",house,,3500,16,,Long Beach,CA
585613,"New Hermosa Beach House with View and Rooftop Deck, Steps from the Sand",33.873465,-118.404296,"Hermosa Beach, CA, USA",13,4.9,224,,,,150,,30,3,2,2,house,Yes,2014,Within a few hours,100%,"June 4, 2017",house,,900,3,,Long Beach,CA
689001,Charming Upstairs Ocean View Beach House,33.6118726,-117.93083,"Balboa Peninsula, Newport Beach, CA, USA",8,4.8,225,,,,,,0,8,3,2,house,Yes,2004,Within a day,,"June 9, 2017",house,,,8,,Long Beach,CA
879578,"Ocean View 50 Steps To The Sand, 2 Blocks To The Pier, Restaurants, Shopping",33.86425519,-118.40182166,"Hermosa Beach, CA, USA",0,,269,,,,,,29,8,4,2,house,Yes,2005,,,"May 29, 2017",house,,1800,8,,Long Beach,CA
910266,Spacious Vacation Home with Rec Room and Large Backyard,33.771085,-117.966993,"Garden Grove, CA, USA",7,4.7,350,350,370,,,5.0%,2,12,4,3,house,Yes,2016,Within 2 days,80%,"June 6, 2017",house,,3100,12,,Long Beach,CA
442419,Luxurious Surf City Condo,33.67807,-117.996195,"Yorktown, Huntington Beach, CA, USA",12,,91,,,,120,,31,4,Studio,1,condo,Yes,2012,Within a few days,100%,"June 5, 2017",condo,2,700,4,,Long Beach,CA
876131,Year-Round Beachside Vacation Getaway,33.6204609,-117.9385777,"Balboa Peninsula, Newport Beach, CA, USA",2,,164,,,,,,0,4,1,1,house,Yes,2004,Within a day,,"June 8, 2017",house,,800,4,,Long Beach,CA
878412,Walk To Disney!  Literally Across The Street From Disney Resort!,33.813355,-117.929522,"Hermosa Village, Anaheim, CA, USA",7,4.6,210,200,,,100,,3,5,2,2,condo,Yes,2016,Within an hour,100%,"June 6, 2017",condo,,1000,5,,Long Beach,CA
597451,SUITE ESCAPES 4! Walk to Disney/Conv Ctr! Pool! Garage!! Strollers,33.7968757,-117.9219234,"Convention Center, Anaheim, CA, USA",55,4.9,230,220,,,185,15.0%,3,9,3,2,townhome,Yes,2013,Within 12 hours,100%,"June 9, 2017",townhome,,1400,9,,Long Beach,CA
477946,1932  Charming Spanish Guest House,33.729462,-118.291522,"Central San Pedro, Los Angeles, CA, USA",24,4.8,136,149,,,60,14.0%,2,5,2,1,bungalow,Yes,2013,Within an hour,100%,"June 8, 2017",bungalow,,750,5,,Long Beach,CA
626856,"Spectacular 5 Bedroom, 4 Bath Pool Home Near Disney",33.821558,-117.948857,"Southwest Anaheim, Anaheim, CA, USA",19,4.2,504,525,,,200,15.0%,3,13,5,3,house,Yes,2011,Within a few days,70%,"June 8, 2017",house,,2300,,,Long Beach,CA
688572,Balboa Peninsula- Best Location-2 Blocks To Beach - Next To Restaurants And Sto,33.61547026,-117.93157594,"Balboa Peninsula, Newport Beach, CA, USA",9,4.8,250,250,,,125,10.0%,3,4,2,1,apartment,Yes,2015,Within a few hours,90%,"June 8, 2017",apartment,2,,4,building,Long Beach,CA
4261541ha,Under 1.5 Mile To Disneyland - Perfect For Budget Vacationers,,,"Southeast Anaheim, Anaheim, CA, USA",5,4.8,250,250,,,150,,3,14,4,2,house,Yes,2016,Within 2 days,90%,"June 4, 2017",house,,1400,14,,Long Beach,CA
3716651ha,"Modern, upscale downtown beach retreat - Less Than 2 Blocks To The Sand!",33.6646969,-118.008701,"Huntington Beach, CA, USA",37,,340,275,,,150,,5,6,3,3,house,Yes,2014,Within a day,100%,"May 28, 2017",house,,1800,6,,Long Beach,CA
692091,"15% OF15% OFF MAY-5 houses from the ocean, remodeled / 2 nite min. stay",33.618142,-117.936444,"Balboa Peninsula, Newport Beach, CA, USA",25,4.8,260,260,,,,10.0%,2,8,3,2,bungalow,Yes,2015,Within 12 hours,100%,"June 8, 2017",bungalow,,975,,,Long Beach,CA
4521137ha,Relax!!! You Are At The Beach,,,"Huntington Beach, CA, USA",0,,158,,,,150,,30,6,2,2,condo,Yes,2017,Within a few hours,100%,"June 7, 2017",condo,2,1000,,building,Long Beach,CA
161720ha,Beachfront 3 Bedroom Southern California Masterpiece,33.72178115,-118.07608225,"Sunset Beach, Huntington Beach, CA, USA",23,4.7,557,495,,,,3.0%,3,8,3,2,house,Yes,2004,Within a day,100%,"June 4, 2017",house,,1200,,,Long Beach,CA
429975,POOL VILLA WITH AMAZING CITY & CANYON VIEWS IN UPSCALE Palos Verdes,33.759116,-118.342976,"Rolling Hills, CA, USA",22,4.5,472,495,,,,,3,6,3,2,house,Yes,2011,Within an hour,100%,"June 9, 2017",house,,2400,6,,Long Beach,CA
476954,"Clean Spacious 2 Bedroom 2 Bath House with Hot Tub, Fire place, Steam Shower",,,"Huntington Beach, CA, USA",3,4.7,225,200,225,,150,,3,4,2,,house,Yes,2012,Within a few days,70%,"June 8, 2017",house,,1700,4,,Long Beach,CA
556786,OCEANFRONT right on the board walk and the sand,33.614994,-117.93439,"Balboa Peninsula, Newport Beach, CA, USA",29,4.9,550,450,,,,10.0%,2,8,3,2,condo,Yes,2014,Within an hour,90%,"June 8, 2017",condo,2,1200,8,,Long Beach,CA
783500,Cozy Vacation Spot at the Beach! June 11-15 Special Last Minute Deal,33.623109,-117.943,"Newport Beach, CA, USA",16,4.7,287,290,,,125,10.0%,4,8,2,2,townhome,Yes,2015,Within a few hours,100%,"June 8, 2017",townhome,1,1100,8,house,Long Beach,CA
380695,Luxurious Family Home Located in the Heart of Orange County.,33.73905182,-117.93740845,"Riverview West, Santa Ana, CA, USA",13,4.9,379,350,,,175,5.0%,3,20,5,4,house,Yes,2011,Within a few days,80%,"June 9, 2017",house,,3200,,,Long Beach,CA
426428,"Enjoy the Beach, Hike, Run, Bike and Visit Disneyland",33.656892,-117.942468,"Westside Costa Mesa, Costa Mesa, CA, USA",36,,174,165,,,135,,3,6,3,2,condo,Yes,2012,Within 12 hours,100%,"June 8, 2017",condo,,1350,6,,Long Beach,CA
3466384ha,$199 WALK TO DISNEYLAND,33.800187,-117.935653,"Southwest Anaheim, Anaheim, CA, USA",61,4.7,269,285,,,,15.0%,3,9,3,2,house,Yes,2012,Within an hour,100%,"June 8, 2017",house,,1855,9,,Long Beach,CA
481671,Funtierland 27 + Pool/Hot Tub + Themed Rooms + FREE WiFi/Netflix + Patio,33.8458427,-117.9305541,"Northwest Anaheim, Anaheim, CA, USA",15,,284,199,,,195,15.0%,3,9,3,2,house,Yes,2011,Within 12 hours,100%,"June 8, 2017",house,,1600,9,,Long Beach,CA
3721122ha,Spacious 5BR/3BA Home/ Resort Style Pool and Spa,33.9104219,-117.95571,"La Habra, CA, USA",10,4.4,500,500,,,250,,5,14,5,3,house,Yes,2014,Within an hour,100%,"June 9, 2017",house,,3200,14,,Long Beach,CA
654158,Ocean View 29th Street Front Cottage,33.61270082,-117.9318742,"Balboa Peninsula, Newport Beach, CA, USA",9,,343,,,,,10.0%,2,5,2,1,cottage,Yes,2007,Within an hour,100%,"June 6, 2017",cottage,,950,5,,Long Beach,CA
146834,One House to the Sand,33.61723709,-117.93600464,"Balboa Peninsula, Newport Beach, CA, USA",21,,295,295,,,,10.0%,3,6,2,1,townhome,Yes,2007,Within an hour,100%,"May 20, 2017",townhome,1,,6,house,Long Beach,CA
504985,Amazing Location!!! Walking Distance to Disneyland and Convention Center,33.800852,-117.927219,"Convention Center, Anaheim, CA, USA",41,4.9,350,330,,,,15.0%,3,10,4,2,house,Yes,2013,Within an hour,100%,"June 7, 2017",house,,1500,10,,Long Beach,CA
3762828ha,"Luxury Home, 5 Min to Disneyland/Convention Ctr, Remodeled, w/ Jacuzzi Spa",33.792514,-117.907365,"Anaheim Resort, Anaheim, CA, USA",44,4.8,293,300,,,150,15.0%,3,13,4,2,house,Yes,2014,Within an hour,100%,"June 8, 2017",house,,2005,13,,Long Beach,CA
690253,"Quiet And Charming, Just Steps To Beach And Downtown",33.88049,-118.406499,"Sand Section, Manhattan Beach, CA, USA",15,4.7,229,229,,,100,,3,4,1,1,apartment,Yes,2015,Within a few days,70%,"June 5, 2017",apartment,2,,4,house,Long Beach,CA
963610,Grand Opening! SUMMER SPECIAL!! Newly Remodeled 4 Bed Pool House with Game Room,33.8116709,-117.939472,"Hermosa Village, Anaheim, CA, USA",1,,393,370,410,,235,15.0%,3,11,4,3,house,Yes,2015,Within an hour,100%,"June 9, 2017",house,,2500,11,,Long Beach,CA
1024392,Beautiful Furnished HB Studio Apartment with Deck.,33.666528,-117.995273,"Yorktown, Huntington Beach, CA, USA",4,4.8,200,150,,,75,,2,2,1,1,studio,Yes,2017,Within 12 hours,100%,"June 7, 2017",studio,,,,,Long Beach,CA
248842ha,"Oceanfront, Oceanview Condo with Pool , Wi-Fi; on Bike Path/Fishing Pier/Beaches",33.83869663,-118.38865042,"South Redondo, Redondo Beach, CA, USA",7,4.3,120,120,,,,,30,4,1,1,condo,Yes,2004,Within 12 hours,100%,"June 8, 2017",condo,1,650,4,,Long Beach,CA
565241,Terranea Luxury Ocean View Villa! - * Full Resort Privileges!  * - 3 Bed/3 Bath,33.74205252,-118.39767103,"Rancho Palos Verdes, CA, USA",35,4.9,,1,,,,10.0%,2,8,3,3,villa,Yes,2014,Within a few hours,100%,"June 8, 2017",villa,,2400,,,Long Beach,CA
588255,1 1/2 blocks to the Beach! Close to both Manhattan Beach Pier and Hermosa Beach,33.878105,-118.406533,"Sand Section, Manhattan Beach, CA, USA",31,,423,,,,300,10.0%,30,8,4,3,house,Yes,2011,Within an hour,100%,"June 1, 2017",house,,2100,8,,Long Beach,CA
